Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.35, 0.09, 2, TSVD, 0.804658, 0.084603, 0.268302, 80.00
0.35, 0.09, 2, sigma-NMD (TSVD init), 0.722409, 0.090202, 0.285204, 821.00
0.35, 0.09, 2, ReLU-NMD (TSVD init), 0.697493, 0.098497, 0.333749, 101.00
0.35, 0.09, 2, sigma-NMD (Random init), 0.727363, 0.089580, 0.281609, 859.00
0.35, 0.09, 2, ReLU-NMD (Random init), 0.717617, 0.099508, 8.964509, 104.00
0.35, 0.09, 2, NMF, 0.804670, 0.084759, 0.268581, 21.00
0.35, 0.09, 5, TSVD, 0.704751, 0.096060, 0.422613, 1222.00
0.35, 0.09, 5, sigma-NMD (TSVD init), 0.217362, 0.124417, 0.345773, 981.00
0.35, 0.09, 5, ReLU-NMD (TSVD init), 0.357036, 0.123121, 4373.614872, 121.00
0.35, 0.09, 5, sigma-NMD (Random init), 0.290899, 0.122810, 0.344317, 612.00
0.35, 0.09, 5, ReLU-NMD (Random init), 0.410667, 0.122265, 6591.233475, 59.00
0.35, 0.09, 5, NMF, 0.717385, 0.095438, 1.925523, 97.00
0.35, 0.09, 10, TSVD, 0.562587, 0.121332, 1.319816, 2199.00
0.35, 0.09, 10, sigma-NMD (TSVD init), 0.000841, 0.148004, 0.370438, 131.00
0.35, 0.09, 10, ReLU-NMD (TSVD init), 0.073969, 0.140228, 1.200577, 141.00
0.35, 0.09, 10, sigma-NMD (Random init), 0.178131, 0.123821, 0.337947, 101.00
0.35, 0.09, 10, ReLU-NMD (Random init), 0.205670, 0.136444, 32003.716186, 35.00
0.35, 0.09, 10, NMF, 0.588949, 0.112416, 28.007619, 186.00
