Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.35, 0.34, 2, TSVD, 0.608487, 0.273537, 0.446420, 44.00
0.35, 0.34, 2, sigma-NMD (TSVD init), 0.543121, 0.281267, 0.472645, 641.00
0.35, 0.34, 2, ReLU-NMD (TSVD init), 0.607498, 0.274826, 0.444012, 11.00
0.35, 0.34, 2, sigma-NMD (Random init), 0.559625, 0.302845, 0.481451, 619.00
0.35, 0.34, 2, ReLU-NMD (Random init), 0.781092, 0.327483, 15.114713, 48.00
0.35, 0.34, 2, NMF, 0.609669, 0.274665, 0.445298, 38.00
0.35, 0.34, 5, TSVD, 0.434093, 0.246377, 0.612257, 296.00
0.35, 0.34, 5, sigma-NMD (TSVD init), 0.192673, 0.301664, 0.541845, 1831.00
0.35, 0.34, 5, ReLU-NMD (TSVD init), 0.418352, 0.251744, 0.533993, 21.00
0.35, 0.34, 5, sigma-NMD (Random init), 0.221335, 0.303972, 0.544415, 2167.00
0.35, 0.34, 5, ReLU-NMD (Random init), 0.576726, 0.307783, 45205728.145715, 28.00
0.35, 0.34, 5, NMF, 0.450500, 0.249490, 9.478689, 99.00
0.35, 0.34, 10, TSVD, 0.222627, 0.302791, 2.042740, 1992.00
0.35, 0.34, 10, sigma-NMD (TSVD init), 0.028833, 0.305421, 0.536589, 91.00
0.35, 0.34, 10, ReLU-NMD (TSVD init), 0.169078, 0.287708, 4743118.568141, 21.00
0.35, 0.34, 10, sigma-NMD (Random init), 0.068756, 0.298712, 0.524144, 77.00
0.35, 0.34, 10, ReLU-NMD (Random init), 0.361101, 0.310574, 31749201.941322, 21.00
0.35, 0.34, 10, NMF, 0.282022, 0.293129, 158.184441, 278.00
