Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.00, 0.29, 2, TSVD, 0.648825, 0.170762, 0.413233, 1.00
0.00, 0.29, 2, sigma-NMD (TSVD init), 0.614898, 0.167383, 0.331003, 511.00
0.00, 0.29, 2, ReLU-NMD (TSVD init), 0.631515, 0.162930, 0.339948, 221.00
0.00, 0.29, 2, sigma-NMD (Random init), 0.613276, 0.168366, 0.330130, 481.00
0.00, 0.29, 2, ReLU-NMD (Random init), 0.651907, 0.173096, 0.350925, 76.00
0.00, 0.29, 2, NMF, 0.651056, 0.173326, 0.350467, 48.00
0.00, 0.29, 5, TSVD, 0.539511, 0.106572, 0.326454, 1.00
0.00, 0.29, 5, sigma-NMD (TSVD init), 0.357423, 0.046376, 0.192403, 2331.00
0.00, 0.29, 5, ReLU-NMD (TSVD init), 0.456423, 0.076781, 0.245695, 721.00
0.00, 0.29, 5, sigma-NMD (Random init), 0.371820, 0.050952, 0.200153, 2234.00
0.00, 0.29, 5, ReLU-NMD (Random init), 0.472968, 0.080713, 0.254601, 470.00
0.00, 0.29, 5, NMF, 0.564704, 0.121837, 0.303983, 76.00
0.00, 0.29, 10, TSVD, 0.410241, 0.040387, 0.200965, 1.00
0.00, 0.29, 10, sigma-NMD (TSVD init), 0.100347, 0.002918, 0.054017, 141.00
0.00, 0.29, 10, ReLU-NMD (TSVD init), 0.197049, 0.007985, 0.106073, 2771.00
0.00, 0.29, 10, sigma-NMD (Random init), 0.141138, 0.005805, 0.075975, 139.00
0.00, 0.29, 10, ReLU-NMD (Random init), 0.228138, 0.012178, 0.122808, 2492.00
0.00, 0.29, 10, NMF, 0.478849, 0.075630, 0.257767, 124.00
