Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.15, 0.47, 2, TSVD, 0.474212, 0.206226, 0.399244, 29.00
0.15, 0.47, 2, sigma-NMD (TSVD init), 0.369504, 0.198444, 0.354680, 1031.00
0.15, 0.47, 2, ReLU-NMD (TSVD init), 0.471114, 0.206226, 0.392038, 11.00
0.15, 0.47, 2, sigma-NMD (Random init), 0.376345, 0.196887, 0.379953, 932.00
0.15, 0.47, 2, ReLU-NMD (Random init), 0.536074, 0.267704, 3926236.210152, 68.00
0.15, 0.47, 2, NMF, 0.479451, 0.209339, 0.392979, 27.00
0.15, 0.47, 5, TSVD, 0.282695, 0.154864, 0.426994, 335.00
0.15, 0.47, 5, sigma-NMD (TSVD init), 0.068520, 0.151751, 0.385287, 91.00
0.15, 0.47, 5, ReLU-NMD (TSVD init), 0.140412, 0.155642, 0.774471, 391.00
0.15, 0.47, 5, sigma-NMD (Random init), 0.080798, 0.165370, 0.389289, 104.00
0.15, 0.47, 5, ReLU-NMD (Random init), 0.171342, 0.170817, 1.896822, 681.00
0.15, 0.47, 5, NMF, 0.306739, 0.124514, 0.907749, 89.00
0.15, 0.47, 10, TSVD, 0.100848, 0.206226, 2.444748, 1804.00
0.15, 0.47, 10, sigma-NMD (TSVD init), 0.000223, 0.163424, 0.378701, 91.00
0.15, 0.47, 10, ReLU-NMD (TSVD init), 0.000100, 0.214008, 2.753815, 5091.00
0.15, 0.47, 10, sigma-NMD (Random init), 0.015306, 0.148249, 0.358818, 75.00
0.15, 0.47, 10, ReLU-NMD (Random init), 0.069086, 0.224125, 0.812416, 191.00
0.15, 0.47, 10, NMF, 0.144410, 0.205837, 108.745401, 406.00
